WORD	PAST	PAST-PARTICIPLE	PRESENT-PARTICIPLE	
abandon			
abase			
abash			
abate			
abbreviate			
abdicate			
abduct			
abet			
abhor			
abide			
abjure			
abolish			
abominate			
abort			
abound			
about-face			
abrade			
abridge			
abrogate			
abscond			
absent			
absolve			
absorb			
abstain			
abstract			
abuse			
abut			
accede			
accelerate			
accent			
accentuate			
accept			
access			
acclaim			
acclimate			
acclimatize			
accommodate			
accompany			
accomplish			
accord			
accost			
account			
accredit			
accrue			
accumulate			
accuse			
accustom			
ache			
achieve			
acidify			
acknowledge			
acquaint			
acquiesce			
acquire			
acquit	acquitted	acquitted	acquitting
act			
activate			
actuate			
ad-lib			
adapt			
add			
addict			
addle			
address			
adduce			
adhere			
adjoin			
adjourn			
adjudge			
adjudicate			
adjure			
adjust			
administer			
admire			
admit			
admix			
admonish			
adopt			
adore			
adorn			
adulterate			
adumbrate			
advance			
adventure			
advert			
advertise			
advertize			
advise			
advocate			
aerate			
affect			
affiance			
affiliate			
affirm			
affix			
afflict			
afford			
afforest			
affranchise			
affront			
age			
agglomerate			
agglutinate			
aggrandize			
aggravate			
aggregate			
aggrieve			
agitate			
agree			agreeing
aid			
ail			
aim			
air			
alarm			
alert			
alienate			
alight	(alit alighted)	(alit alighted)	
align			
alkylate			
allay			
allege			
alleviate			
allocate			
allot			
allow			
alloy			
allude			
allure			
ally			
alter			
alternate			
amalgamate			
amass			
amaze			
amble			
ambush			
ameliorate			
amend			
amortize			
amount			
amplify			
amputate			
amuse			
anaesthetize			
analyse			
analyze			
anathematize			
anchor			
anesthetize			
anger			
angle			
anglicize			
animadvert			
animate			
anneal			
annex			
annihilate			
annotate			
announce			
annoy			
annualize			
annul			
annunciate			
anoint			
answer			
antagonize			
antedate			
anticipate			
ape			
apologize			
apostrophize			
appal			
apparel	(apparelled appareled)	(apparelled appareled)	(apparelling appareling)
appeal			
appear			
appease			
append			
appertain			
applaud			
applique	appliqueed	appliqueed	appliqueing
appliqué			
apply			
appoint			
apportion			
appraise			
appreciate			
apprehend			
apprentice			
apprise			
approach			
appropriate			
approve			
approximate			
aquaplane			
arbitrate			
arch			
argue			
arise	arose	arisen	
arm			
arouse			
arraign			
arrange			
array			
arrest			
arrive			
arrogate			
article			
articulate			
ascend			
ascertain			
ascribe			
ask			
asperse			
asphalt			
asphyxiate			
aspirate			
aspire			
assail			
assassinate			
assault			
assay			
assemble			
assent			
assert			
assess			
asseverate			
assign			
assimilate			
assist			
associate			
assuage			
assume			
assure			
astonish			
astound			
atomize			
atone			
atrophy			
attach			
attack			
attain			
attempt			
attend			
attenuate			
attest			
attire			
attitudinize			
attract			
attribute			
attune			
auction			
audit			
audition			
augment			
augur			
authenticate			
author			
authorize			
autograph			
automate			
avail			
avenge			
aver			
average			
avert			
avoid			
avow			
await			
awaken			
award			
awe			
ax			
axe			
baa			
babble			
baby			
babysit	babysat	babysat	
back			
backbite	backbit	backbit	
backdate			
backfire			
backpedal			
backslide	backslid	backslid	
backspace			
badger			
baffle			
bag			
bail			
bait			
bake			
balance			
bale			
balk			
ball			
ballast			
balloon			
ballot			
bamboozle			
ban			
band			
bandage			
bandy			
bang			
banish			
bank			
bankrupt			
banquet			
banter			
baptize			
bar			
barbarize			
barbecue			
bare			
bargain			
barge			
bark			
barnstorm			
barrack			
barrel	(barrelled barreled)	(barrelled barreled)	(barrelling barreling)
barricade			
barter			
base			
bash			
bask			
bastardize			
baste			
bastinado			
bat			
bate			
bathe			
batten			
batter			
battle			
baulk			
bawl			
bay			
bayonet			
be		been	being
be (contraction)		*NONE*	*NONE*
be (negated)		*NONE*	*NONE*
beach			
beam			
bear	bore	(borne born)	
beard			
beat	beat	beaten	
beatify			
beautify			
beaver			
beckon			
become	became	become	
bed			
bedevil			
beef			
beetle			
befall	befell	befallen	
befit			
befoul			
befriend			
beg			
beget	(begot begat)	begotten	
beggar			
begin	began	begun	
begrudge			
beguile			
behave			
behead			
behold	beheld	beheld	
behoove			
behove			
belabor			
belabour			
belay			
belch			
beleaguer			
belie			belying
believe			
belittle			
bell			
bellow			
belly			
bellyache			
bellyland			
bellylaugh			
belong			
belt			
bemoan			
bend		bent	
benefit			
bequeath			
berate			
bereave		bereft	
berth			
beseech			
beseem			
beset	beset	beset	
besiege			
besmear			
besmirch			
bespeak	bespoke	bespoken	
best			
bestir			
bestow			
